kepid,kepoi_name,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
6541920,157.03,CANDIDATE,31.995524850,3.1090000e-05,-3.1090000e-05,4.22,0.09,0.26,1.071,0.022,-0.021,1.068,0.052,-0.065
6541920,157.04,CANDIDATE,46.685620500,1.1200000e-04,-1.1200000e-04,2.58,0.07,0.07,1.071,0.022,-0.021,1.068,0.052,-0.065
6541920,157.05,CANDIDATE,118.378673500,3.1670000e-04,-3.1670000e-04,3.48,0.09,0.07,1.071,0.022,-0.021,1.068,0.052,-0.065
6587002,612.01,CANDIDATE,20.739894060,4.2800000e-05,-4.2800000e-05,2.17,0.21,0.23,0.791,0.015,-0.015,0.831,0.033,-0.046
6587002,612.02,CANDIDATE,47.427711600,1.2920000e-04,-1.2920000e-04,2.39,0.25,0.16,0.791,0.015,-0.015,0.831,0.033,-0.046
6587002,612.03,CANDIDATE,122.080495300,5.6770000e-04,-5.6770000e-04,3.00,0.07,0.77,0.791,0.015,-0.015,0.831,0.033,-0.046
6587280,857.01,CANDIDATE,5.715425977,7.7790000e-06,-7.7790000e-06,2.48,0.07,0.10,0.830,0.020,-0.020,0.824,0.051,-0.048
6587280,857.02,CANDIDATE,20.026141200,1.2720000e-04,-1.2720000e-04,2.29,0.38,0.60,0.830,0.020,-0.020,0.824,0.051,-0.048
6607286,1239.01,CANDIDATE,0.783276173,1.2690000e-06,-1.2690000e-06,1.48,0.07,0.06,0.922,0.034,-0.032,0.974,0.039,-0.042
6607286,1239.02,CANDIDATE,3.174058980,1.0980000e-05,-1.0980000e-05,1.56,0.07,0.09,0.922,0.034,-0.032,0.974,0.039,-0.042
6607357,2838.02,CANDIDATE,4.774660430,4.2010000e-05,-4.2010000e-05,1.18,0.07,0.07,1.623,0.038,-0.038,1.180,0.084,-0.097
6607357,2838.01,CANDIDATE,7.699944660,4.9180000e-05,-4.9180000e-05,1.35,0.07,0.06,1.623,0.038,-0.038,1.180,0.084,-0.097
6616218,1692.02,CANDIDATE,2.461069620,1.2800000e-05,-1.2800000e-05,0.85,0.27,0.04,0.897,0.016,-0.014,0.942,0.040,-0.052
6616218,1692.01,CANDIDATE,5.960400011,4.3900000e-06,-4.3900000e-06,2.88,0.05,0.28,0.897,0.016,-0.014,0.942,0.040,-0.052
6677841,1236.02,CANDIDATE,12.309716790,4.7860000e-05,-4.7860000e-05,3.14,0.10,0.36,1.393,0.042,-0.040,1.248,0.051,-0.053
6677841,1236.01,CANDIDATE,35.735361600,1.2240000e-04,-1.2240000e-04,4.49,0.17,0.50,1.393,0.042,-0.040,1.248,0.051,-0.053
6677841,1236.03,CANDIDATE,54.420540700,2.8560000e-04,-2.8560000e-04,4.18,0.13,0.64,1.393,0.042,-0.040,1.248,0.051,-0.053
6677841,1236.04,CANDIDATE,98.353149000,1.7930000e-03,-1.7930000e-03,3.39,0.55,0.48,1.393,0.042,-0.040,1.248,0.051,-0.053
6678383,111.01,CANDIDATE,11.427550984,8.1500000e-06,-8.1500000e-06,2.41,0.05,0.10,1.032,0.022,-0.022,0.878,0.066,-0.056
6678383,111.02,CANDIDATE,23.668346350,3.0030000e-05,-3.0030000e-05,2.38,0.10,0.16,1.032,0.022,-0.022,0.878,0.066,-0.056
6678383,111.03,CANDIDATE,51.755305040,8.5350000e-05,-8.5350000e-05,2.68,0.15,0.12,1.032,0.022,-0.022,0.878,0.066,-0.056
6685609,665.02,CANDIDATE,1.611890460,4.3010000e-06,-4.3010000e-06,1.86,0.05,0.18,1.678,0.037,-0.043,1.369,0.050,-0.051
6685609,665.03,CANDIDATE,3.071552840,1.2850000e-05,-1.2850000e-05,1.78,0.04,0.24,1.678,0.037,-0.043,1.369,0.050,-0.051
6685609,665.01,CANDIDATE,5.868066282,6.9250000e-06,-6.9250000e-06,3.89,0.10,0.34,1.678,0.037,-0.043,1.369,0.050,-0.051
6690082,1240.01,CANDIDATE,2.139556300,3.1110000e-06,-3.1110000e-06,1.59,0.05,0.06,0.975,0.022,-0.021,1.002,0.047,-0.060
6690082,1240.02,CANDIDATE,4.807103254,5.8970000e-06,-5.8970000e-06,2.67,0.06,0.56,0.975,0.022,-0.021,1.002,0.047,-0.060
6705026,3374.01,CANDIDATE,9.508487100,1.1560000e-04,-1.1560000e-04,1.33,0.08,0.09,1.347,0.048,-0.048,1.209,0.066,-0.070
6705026,3374.02,CANDIDATE,34.108656200,7.0450000e-04,-7.0450000e-04,1.57,0.08,0.13,1.347,0.048,-0.048,1.209,0.066,-0.070
6716545,2906.01,CANDIDATE,13.909354400,1.6610000e-04,-1.6610000e-04,1.43,0.08,0.08,1.538,0.046,-0.046,1.248,0.048,-0.065
6716545,2906.03,CANDIDATE,21.942431600,5.3370000e-04,-5.3370000e-04,1.33,0.06,0.12,1.538,0.046,-0.046,1.248,0.048,-0.065
6716545,2906.02,CANDIDATE,145.881936000,5.1530000e-03,-5.1530000e-03,1.94,0.16,0.10,1.538,0.046,-0.046,1.248,0.048,-0.065
6768394,2086.01,CANDIDATE,7.132947200,3.6350000e-05,-3.6350000e-05,1.80,0.32,0.10,1.434,0.039,-0.037,1.131,0.071,-0.082
6768394,2086.02,CANDIDATE,8.919012280,5.0780000e-05,-5.0780000e-05,2.01,0.36,0.11,1.434,0.039,-0.037,1.131,0.071,-0.082
6768394,2086.03,CANDIDATE,11.898494800,1.4170000e-04,-1.4170000e-04,1.86,0.48,0.15,1.434,0.039,-0.037,1.131,0.071,-0.082
6768394,2086.04,CANDIDATE,335.563110000,3.8820000e-02,-3.8820000e-02,1.81,0.19,0.15,1.434,0.039,-0.037,1.131,0.071,-0.082
6849310,864.01,CANDIDATE,4.311780262,4.3420000e-06,-4.3420000e-06,2.97,0.13,0.12,0.886,0.035,-0.032,0.901,0.050,-0.056
6849310,864.03,CANDIDATE,9.767345030,3.0520000e-05,-3.0520000e-05,2.55,0.21,0.48,0.886,0.035,-0.032,0.901,0.050,-0.056
6849310,864.02,CANDIDATE,20.050449400,8.8260000e-05,-8.8260000e-05,2.57,0.11,0.13,0.886,0.035,-0.032,0.901,0.050,-0.056
6850504,70.02,CANDIDATE,3.696121272,2.3940000e-06,-2.3940000e-06,1.71,0.05,0.03,0.888,0.016,-0.015,0.922,0.043,-0.054
6850504,70.04,CANDIDATE,6.098556030,2.5360000e-05,-2.5360000e-05,0.81,0.04,0.03,0.888,0.016,-0.015,0.922,0.043,-0.054
6850504,70.01,CANDIDATE,10.854095934,4.9770000e-06,-4.9770000e-06,2.87,0.15,0.07,0.888,0.016,-0.015,0.922,0.043,-0.054
6850504,70.05,CANDIDATE,19.577607300,1.4270000e-04,-1.4270000e-04,0.86,0.05,0.03,0.888,0.016,-0.015,0.922,0.043,-0.054
6850504,70.03,CANDIDATE,77.611442700,1.5360000e-04,-1.5360000e-04,2.49,0.07,0.05,0.888,0.016,-0.015,0.922,0.043,-0.054
6871071,2220.03,CANDIDATE,1.897828815,6.3010000e-06,-6.3010000e-06,1.54,0.08,0.07,1.351,0.047,-0.047,1.123,0.067,-0.078
6871071,2220.01,CANDIDATE,3.282802400,1.2810000e-05,-1.2810000e-05,1.60,0.09,0.07,1.351,0.047,-0.047,1.123,0.067,-0.078
6871071,2220.02,CANDIDATE,5.028182530,2.0490000e-05,-2.0490000e-05,1.81,0.08,0.09,1.351,0.047,-0.047,1.123,0.067,-0.078
6871071,2220.04,CANDIDATE,7.664629130,7.2960000e-05,-7.2960000e-05,1.43,0.09,0.09,1.351,0.047,-0.047,1.123,0.067,-0.078
6871071,2220.05,CANDIDATE,11.929456800,1.2400000e-04,-1.2400000e-04,1.58,0.09,0.12,1.351,0.047,-0.047,1.123,0.067,-0.078
